Date,Low,High,Adj Close,Volume
2020-08-03,1465.640015,1490.469971,1474.449951,2330200
2020-08-04,1458.650024,1485.560059,1464.969971,1903500
2020-08-05,1463.459961,1482.410034,1473.609985,1979500
2020-08-06,1466.0,1502.390015,1500.099976,1995400
2020-08-07,1481.640015,1516.844971,1494.48999,1576600
2020-08-10,1473.079956,1504.074951,1496.099976,1289300
2020-08-11,1478.0,1510.0,1480.319946,1454400
2020-08-12,1485.25,1512.385986,1506.619995,1437700
2020-08-13,1508.005005,1537.25,1518.449951,1455200
2020-08-14,1502.880005,1521.900024,1507.72998,1354800
2020-08-17,1507.969971,1525.609985,1517.97998,1378300
2020-08-18,1523.709961,1562.469971,1558.599976,2027100
2020-08-19,1543.949951,1573.680054,1547.530029,1660600
2020-08-20,1538.199951,1585.869995,1581.75,1706900
2020-08-21,1568.005005,1597.719971,1580.420044,1446500
2020-08-24,1580.569946,1614.170044,1588.199951,1409900
2020-08-25,1582.069946,1611.619995,1608.219971,2247100
2020-08-26,1603.599976,1659.219971,1652.380005,3993400
2020-08-27,1625.75,1655.0,1634.329956,1861600
2020-08-28,1630.75,1647.170044,1644.410034,1499800
2020-08-31,1630.310059,1647.964966,1634.180054,1823400
