Date,Low,High,Adj Close,Volume
2020-11-02,107,111,109,122866900
2020-11-03,109,111,110,107624400
2020-11-04,112,116,115,138235500
2020-11-05,117,120,119,126387100
2020-11-06,116,119,119,114457900
2020-11-09,116,122,116,154515300
2020-11-10,114,118,116,138023400
2020-11-11,116,120,119,112295000
2020-11-12,119,121,119,103162300
2020-11-13,118,120,119,81581900
2020-11-16,118,121,120,91183000
2020-11-17,119,121,119,74271000
2020-11-18,118,120,118,76322100
2020-11-19,117,119,119,74113000
2020-11-20,117,119,117,73391400
2020-11-23,114,118,114,127959300
2020-11-24,113,116,115,113874200
2020-11-25,115,117,116,76499200
2020-11-27,116,117,117,46691300
2020-11-30,117,121,119,169410200
