Date,Low,High,Adj Close,Volume
2019-10-01,56,57,55,139223200
2019-10-02,54,56,54,138449200
2019-10-03,54,55,54,114426000
2019-10-04,56,57,56,138478800
2019-10-07,56,57,56,122306000
2019-10-08,56,57,55,111820000
2019-10-09,56,57,56,74770400
2019-10-10,57,58,56,113013600
2019-10-11,58,59,58,166795600
2019-10-14,59,60,58,96427600
2019-10-15,59,59,58,87360000
2019-10-16,58,59,57,73903200
2019-10-17,58,59,58,67585200
2019-10-18,59,59,58,97433600
2019-10-21,59,60,59,87247200
2019-10-22,60,61,59,82293600
2019-10-23,60,61,60,75828800
2019-10-24,60,61,60,69275200
2019-10-25,61,62,60,73477200
2019-10-28,62,62,61,96572800
2019-10-29,61,62,60,142839600
2019-10-30,60,61,60,124522000
2019-10-31,59,62,61,139162000
2019-11-01,62,64,63,151125200
2019-11-04,64,64,63,103272000
2019-11-05,64,65,63,79897600
2019-11-06,64,64,63,75864400
2019-11-07,65,65,64,94940400
2019-11-08,64,65,64,69986400
2019-11-11,65,66,64,81821200
2019-11-12,65,66,64,87388800
2019-11-13,65,66,65,102734400
2019-11-14,66,66,65,89182800
2019-11-15,66,66,65,100206400
2019-11-18,66,67,66,86703200
2019-11-19,66,67,65,76167200
2019-11-20,65,67,65,106234400
2019-11-21,65,66,64,121395200
2019-11-22,65,66,64,65325200
2019-11-25,66,67,65,84020400
2019-11-26,66,67,65,105207600
2019-11-27,66,67,66,65235600
2019-11-29,66,67,66,46617600
2019-12-02,66,67,65,94487200
2019-12-03,64,65,64,114430400
2019-12-04,65,66,64,67181600
2019-12-05,66,66,65,74424400
2019-12-06,67,68,67,106075600
2019-12-09,66,68,66,128042400
2019-12-10,66,68,66,90420400
2019-12-11,67,68,67,78756800
2019-12-12,67,68,67,137310400
2019-12-13,68,69,68,133587600
2019-12-16,69,70,69,128186000
2019-12-17,70,70,69,114158400
2019-12-18,70,70,69,116028400
2019-12-19,70,70,69,98369200
2019-12-20,70,71,69,275978000
2019-12-23,70,71,70,98572000
2019-12-24,71,71,70,48478800
2019-12-26,71,72,71,93121200
2019-12-27,72,73,71,146266000
2019-12-30,71,73,72,144114400
