Date,Low,High,Adj Close,Volume
2019-03-01,43.0,44.0,43.0,103544800
2019-03-04,43.0,44.0,43.0,109744800
2019-03-05,44.0,44.0,43.0,78949600
2019-03-06,43.0,44.0,42.0,83241600
2019-03-07,43.0,44.0,42.0,99185600
2019-03-08,42.0,43.0,42.0,95997600
2019-03-11,44.0,45.0,44.0,128044000
2019-03-12,45.0,46.0,44.0,129870400
2019-03-13,45.0,46.0,44.0,124130000
2019-03-14,46.0,46.0,45.0,94318000
2019-03-15,46.0,47.0,45.0,156171600
2019-03-18,46.0,47.0,46.0,104879200
2019-03-19,46.0,47.0,45.0,126585600
2019-03-20,46.0,47.0,46.0,124140800
2019-03-21,47.0,49.0,47.0,204136800
2019-03-22,48.0,49.0,46.0,169630800
2019-03-25,47.0,48.0,46.0,175381200
2019-03-26,46.0,48.0,45.0,199202000
2019-03-27,47.0,47.0,46.0,119393600
2019-03-28,47.0,47.0,46.0,83121600
2019-03-29,47.0,48.0,46.0,94256000
