Date,Low,High,Adj Close,Volume
2019-10-01,56.0,57.0,55.0,139223200
2019-10-02,54.0,56.0,54.0,138449200
2019-10-03,54.0,55.0,54.0,114426000
2019-10-04,56.0,57.0,56.0,138478800
2019-10-07,56.0,57.0,56.0,122306000
2019-10-08,56.0,57.0,55.0,111820000
2019-10-09,56.0,57.0,56.0,74770400
2019-10-10,57.0,58.0,56.0,113013600
2019-10-11,58.0,59.0,58.0,166795600
2019-10-14,59.0,60.0,58.0,96427600
2019-10-15,59.0,59.0,58.0,87360000
2019-10-16,58.0,59.0,57.0,73903200
2019-10-17,58.0,59.0,58.0,67585200
2019-10-18,59.0,59.0,58.0,97433600
2019-10-21,59.0,60.0,59.0,87247200
2019-10-22,60.0,61.0,59.0,82293600
2019-10-23,60.0,61.0,60.0,75828800
2019-10-24,60.0,61.0,60.0,69275200
2019-10-25,61.0,62.0,60.0,73477200
2019-10-28,62.0,62.0,61.0,96572800
2019-10-29,61.0,62.0,60.0,142839600
2019-10-30,60.0,61.0,60.0,124522000
2019-10-31,59.0,62.0,61.0,139162000
