Date,Low,High,Adj Close,Volume
2019-07-01,50.0,51.0,49.0,109012000
2019-07-02,50.0,51.0,50.0,67740800
2019-07-03,51.0,51.0,50.0,45448000
2019-07-05,51.0,51.0,50.0,69062000
2019-07-08,50.0,50.0,49.0,101354400
2019-07-09,50.0,50.0,49.0,82312000
2019-07-10,50.0,51.0,50.0,71588400
2019-07-11,50.0,51.0,49.0,80767200
2019-07-12,51.0,51.0,50.0,70380800
2019-07-15,51.0,51.0,50.0,67789600
2019-07-16,51.0,52.0,50.0,67467200
2019-07-17,51.0,51.0,50.0,56430000
2019-07-18,51.0,51.0,50.0,74162400
2019-07-19,51.0,52.0,49.0,83717200
2019-07-22,51.0,52.0,51.0,89111600
2019-07-23,52.0,52.0,51.0,73420800
2019-07-24,52.0,52.0,51.0,59966400
2019-07-25,52.0,52.0,51.0,55638400
2019-07-26,52.0,52.0,51.0,70475600
2019-07-29,52.0,53.0,51.0,86693600
2019-07-30,52.0,53.0,51.0,135742800
2019-07-31,53.0,55.0,52.0,277125600
